Y,X1,X2,X3,X4,X5,X6
727,37,1,148,9.91,4.64,0.10
769,28,4,112,0.31,3.62,0.08
987,16,5,64,8.02,19.43,0.03
88,45,4,180,9.98,7.64,0.02
845,50,2,200,9.85,0.26,0.02
797,20,1,80,1.15,23.47,0.03
691,18,4,72,4.05,0.99,0.09
220,15,4,60,5.26,20.55,0.02
145,45,2,180,9.72,19.28,0.09
950,39,3,156,7.35,7.99,0.09
241,21,5,84,0.21,3.98,0.05
469,19,3,76,5.60,16.42,0.05
320,34,3,136,3.80,6.77,0.04
64,34,3,136,8.39,2.40,0.09
790,38,1,152,0.95,16.73,0.05
551,10,2,40,6.35,15.35,0.09
587,45,3,180,5.46,26.97,0.01
478,37,2,148,3.24,23.63,0.04
346,14,2,56,8.24,22.62,0.01
867,21,2,84,5.32,5.75,0.05
468,48,1,192,6.38,16.96,0.04
475,12,1,48,2.87,26.97,0.09
779,28,5,112,4.71,22.51,0.08
511,32,1,128,3.02,11.16,0.03
837,41,1,164,5.06,17.64,0.02
762,27,5,108,5.98,27.60,0.04
457,45,2,180,8.56,23.22,0.09
209,22,3,88,6.18,5.58,0.07
753,20,4,80,6.07,21.41,0.03
927,24,4,96,6.25,25.37,0.02
542,48,5,192,0.88,12.21,0.04
314,35,3,140,6.84,1.30,0.09
547,22,3,88,2.36,26.64,0.02
162,13,4,52,4.12,28.25,0.04
667,49,5,196,5.61,12.65,0.04
541,10,1,40,0.29,0.97,0.06
128,27,3,108,5.74,23.48,0.06
524,40,1,160,6.81,9.55,0.04
216,35,5,140,0.38,0.49,0.09
40,41,4,164,2.04,17.95,0.07
438,45,5,180,7.56,27.56,0.07
106,19,2,76,0.31,14.58,0.08
799,43,3,172,4.77,28.39,0.07
994,28,1,112,0.14,12.20,0.07
15,40,4,160,1.01,1.00,0.01
212,38,2,152,2.36,29.78,0.01
347,29,2,116,1.48,10.03,0.03
238,34,5,136,2.18,6.29,0.02
123,42,3,168,6.69,10.56,0.08
769,16,3,64,6.26,4.47,0.08
511,32,5,128,1.00,10.54,0.09
460,29,2,116,4.95,22.33,0.06
855,41,5,164,6.90,23.94,0.02
237,47,4,188,3.09,28.28,0.08
715,41,3,164,7.73,0.03,0.03
665,36,4,144,1.46,4.91,0.04
777,30,1,120,9.82,0.36,0.08
396,22,3,88,7.25,3.45,0.09
250,11,5,44,2.95,14.77,0.08
602,19,5,76,9.62,13.74,0.04
966,39,3,156,1.36,10.16,0.08
471,44,3,176,8.00,26.89,0.01
291,29,3,116,8.16,10.63,0.10
970,36,3,144,6.50,29.06,0.04
890,49,1,196,9.90,28.19,0.08
242,24,3,96,9.81,17.04,0.05
829,50,3,200,0.75,17.91,0.08
318,33,2,132,5.84,10.04,0.02
34,20,1,80,2.26,9.14,0.04
738,26,3,104,4.52,26.67,0.10
441,15,4,60,1.75,0.79,0.07
72,40,5,160,1.16,23.20,0.05
857,37,5,148,3.65,14.94,0.06
519,19,3,76,1.42,9.63,0.08
529,29,5,116,4.96,13.35,0.08
718,40,1,160,1.13,27.85,0.01
278,18,1,72,0.68,22.57,0.07
54,15,3,60,9.52,17.43,0.01
299,12,5,48,0.38,1.25,0.08
867,17,2,68,9.11,17.86,0.04
741,48,2,192,0.50,29.06,0.03
519,43,4,172,0.58,17.55,0.02
484,12,2,48,9.05,26.67,0.04
355,43,2,172,3.65,1.66,0.06
214,48,5,192,0.85,21.64,0.07
907,20,5,80,7.46,15.89,0.08
863,10,4,40,2.08,17.26,0.10
894,27,1,108,2.43,6.52,0.04
20,30,5,120,8.14,21.15,0.09
206,16,4,64,9.95,9.96,0.04
354,35,5,140,4.73,18.69,0.09
950,40,2,160,5.30,13.69,0.03
196,44,1,176,5.67,25.54,0.02
99,34,1,136,8.35,10.58,0.05
888,35,2,140,8.11,26.43,0.03
733,46,2,184,2.60,23.63,0.02
36,42,5,168,1.86,22.01,0.00
779,49,4,196,9.58,12.07,0.04
847,46,4,184,2.89,3.24,0.05
283,14,1,56,2.27,17.22,0.05
585,39,3,156,3.81,12.26,0.06
581,34,4,136,9.23,15.08,0.00
380,41,1,164,9.65,24.08,0.04
122,25,4,100,1.55,9.46,0.04
918,34,1,136,0.14,8.58,0.01
103,41,5,164,1.16,22.54,0.09
286,46,5,184,3.91,18.82,0.01
321,32,1,128,3.37,25.93,0.01
497,44,2,176,6.49,14.84,0.09
177,22,2,88,3.37,19.07,0.02
110,17,1,68,8.11,6.58,0.02
114,20,4,80,2.20,12.16,0.04
82,24,1,96,3.81,22.26,0.00
142,42,1,168,6.50,3.48,0.03
888,16,2,64,7.80,2.26,0.08
243,49,4,196,7.21,19.04,0.01
91,12,5,48,2.51,6.55,0.01
577,43,3,172,2.28,20.96,0.07
823,37,1,148,9.22,2.14,0.05
180,41,1,164,8.73,16.18,0.06
289,24,4,96,5.84,20.61,0.05
645,20,3,80,0.70,18.39,0.09
842,26,2,104,1.67,25.31,0.07
210,41,4,164,5.53,9.82,0.08
30,25,1,100,9.34,14.68,0.05
824,48,2,192,9.71,15.55,0.02
745,33,1,132,5.93,6.63,0.02
679,45,4,180,6.04,27.51,0.07
926,15,4,60,5.95,22.84,0.08
142,15,2,60,6.99,25.27,0.09
189,16,3,64,5.30,5.45,0.01
859,42,5,168,0.04,25.49,0.08
445,20,2,80,0.39,12.53,0.03
458,17,3,68,2.41,4.54,0.02
691,38,1,152,2.88,8.32,0.06
119,42,3,168,0.21,5.52,0.08
579,48,5,192,3.20,25.70,0.05
498,46,4,184,1.89,1.79,0.05
117,47,3,188,6.19,27.88,0.10
868,40,1,160,9.09,8.74,0.03
198,26,5,104,3.02,1.35,0.09
484,28,2,112,4.35,28.04,0.08
259,20,3,80,0.25,2.23,0.02
39,21,5,84,5.10,15.68,0.00
162,44,4,176,3.17,2.81,0.06
514,42,4,168,8.58,1.10,0.01
908,47,4,188,5.82,12.02,0.01
209,20,3,80,6.17,7.71,0.09
582,23,2,92,7.48,8.15,0.08
1000,31,1,124,6.11,9.47,0.00
